B0101,-11.9174833298,3.07435131073,0.0,1.0
B0102,-11.3051185608,-1.75029468536,0.0,1.0
B0201,-3.98000001907,4.21000003815,0.999991178513,-0.00420366087928
B0202,-3.02999997139,-1.40999996662,0.999991178513,-0.00420366087928
B0203,-2.29999995232,-7.17000007629,0.751280426979,0.659983158112
B0301,5.34999990463,5.57000017166,0.999991178513,-0.00420366087928
B0302,5.92999982834,-0.639999985695,0.999991178513,-0.00420366087928
B0401,14.7600002289,6.48999977112,0.999991178513,-0.00420366087928
B0402,14.2399997711,-0.319999992847,0.999991178513,-0.00420366087928
B0501,23.8799991608,6.88000011444,0.999991178513,-0.00420366087928
B0502,25.5100002289,0.5,0.999991178513,-0.00420366087928
B0601,31.2199993134,7.34000015259,0.999991178513,-0.00420366087928
B0602,35.4799995422,1.85000002384,0.999991178513,-0.00420366087928
B0701,39.5099983215,8.18000030518,0.999991178513,-0.00420366087928
B0702,38.8199996948,-1.12999999523,0.717356085777,0.696706712246
B0703,39.5499992371,-10.0600004196,0.751280426979,0.659983158112
B0704,40.5,-19.2299995422,0.751280426979,0.659983158112
B0705,41.5900001526,-30.7199993134,0.751280426979,0.659983158112
B0706,42.8899993896,-42.0999984741,0.751280426979,0.659983158112
